<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
05/10/18,115440,115460,115390,115410
05/10/18,115410,115430,115350,115380
05/10/18,115390,115500,115390,115450
05/10/18,115450,115480,115430,115440
05/10/18,115450,115480,115450,115470
05/10/18,115480,115580,115470,115560
05/10/18,115560,115670,115560,115570
05/10/18,115570,115610,115570,115610
05/10/18,115610,115630,115480,115600
05/10/18,115590,115790,115580,115710
05/10/18,115710,115730,115530,115550
05/10/18,115550,115680,115540,115680
05/10/18,115670,115720,115650,115670
05/10/18,115670,115770,115670,115710
05/10/18,115710,115870,115700,115870
05/10/18,115870,115950,115830,115890
05/10/18,115900,115930,115590,115600
05/10/18,115610,115700,115560,115670
05/10/18,115680,115770,115660,115670
05/10/18,115680,115740,115610,115670
05/10/18,115670,115670,115600,115620
05/10/18,115610,115670,115560,115660
05/10/18,115670,115670,115570,115590
05/10/18,115600,115750,115560,115730
05/10/18,115730,115780,115700,115720
05/10/18,115720,115760,115680,115710
05/10/18,115720,115760,115610,115720
05/10/18,115730,115730,115540,115560
05/10/18,115560,115640,115530,115580
05/10/18,115580,115610,115550,115570
05/10/18,115560,115580,115490,115560
05/10/18,115560,115670,115560,115560
05/10/18,115550,115590,115510,115540
05/10/18,115530,115580,115480,115490
05/10/18,115500,115520,115440,115490
05/10/18,115500,115530,115430,115430
05/10/18,115430,115480,115350,115480
05/10/18,115470,115640,115470,115590
05/10/18,115580,115790,115510,115780
05/10/18,115780,115880,115730,115750
05/10/18,115760,115830,115710,115740
05/10/18,115750,115840,115720,115760
05/10/18,115770,115790,115580,115660
05/10/18,115650,115780,115650,115730
05/10/18,115720,115770,115610,115730
05/10/18,115720,115830,115720,115780
05/10/18,115790,115800,115710,115750
05/10/18,115760,115770,115690,115690
05/10/18,115690,115740,115620,115640
05/10/18,115640,115740,115590,115700
05/10/18,115720,115750,115660,115670
05/10/18,115680,115860,115660,115830
05/10/18,115840,115850,115690,115730
05/10/18,115720,115800,115690,115790
05/10/18,115780,115790,115720,115750
05/10/18,115760,115780,115710,115710
05/10/18,115720,115740,115570,115610
05/10/18,115610,115630,115510,115520
05/10/18,115520,115600,115520,115550
05/10/18,115560,115620,115560,115590
05/10/18,115590,115640,115580,115610
05/10/18,115610,115680,115610,115670
05/10/18,115680,115720,115680,115690
05/10/18,115690,115780,115690,115730
05/10/18,115720,115760,115700,115760
05/10/18,115760,115790,115730,115730
05/10/18,115720,115750,115680,115740
05/10/18,115760,115760,115690,115690
05/10/18,115700,115730,115670,115680
05/10/18,115670,115720,115580,115710
05/10/18,115720,115750,115690,115720
05/10/18,115740,115740,115620,115660
05/10/18,115650,115690,115610,115680
05/10/18,115680,115760,115680,115730
05/10/18,115710,115720,115640,115670
05/10/18,115680,115770,115640,115750
05/10/18,115750,115840,115740,115770
05/10/18,115760,115810,115740,115740
05/10/18,115740,115750,115610,115620
05/10/18,115620,115660,115550,115550
05/10/18,115550,115590,115490,115560
05/10/18,115550,115660,115540,115650
05/10/18,115660,115700,115540,115610
05/10/18,115620,115650,115550,115570
05/10/18,115560,115590,115500,115540
05/10/18,115560,115580,115400,115430
05/10/18,115430,115450,115360,115440
05/10/18,115440,115480,115400,115410
05/10/18,115420,115470,115400,115430
05/10/18,115430,115520,115430,115510
05/10/18,115500,115510,115470,115470
05/10/18,115460,115500,115430,115480
05/10/18,115480,115520,115450,115490
05/10/18,115490,115660,115470,115660
05/10/18,115650,115660,115560,115630
05/10/18,115640,115650,115560,115570
05/10/18,115560,115600,115410,115490
05/10/18,115470,115550,115450,115530
05/10/18,115520,115570,115420,115420
05/10/18,115420,115480,115380,115380
05/10/18,115370,115390,115280,115390
05/10/18,115390,115440,115380,115410
05/10/18,115410,115430,115330,115350
05/10/18,115360,115420,115330,115410
05/10/18,115420,115440,115340,115370
05/10/18,115370,115400,115360,115370
05/10/18,115380,115380,115270,115270
05/10/18,115290,115310,115210,115210
05/10/18,115220,115230,115160,115170
05/10/18,115170,115180,115060,115140
05/10/18,115150,115200,115150,115170
05/10/18,115170,115210,115140,115210
05/10/18,115220,115250,115170,115230
05/10/18,115230,115280,115180,115250
05/10/18,115250,115270,115120,115120
05/10/18,115110,115130,115070,115080
05/10/18,115080,115130,115070,115100
05/10/18,115090,115090,115010,115080
05/10/18,115070,115080,115000,115010
05/10/18,115010,115070,115000,115050
05/10/18,115060,115100,115050,115090
05/10/18,115100,115150,115090,115120
05/10/18,115120,115300,115110,115250
05/10/18,115260,115280,115220,115250
05/10/18,115250,115260,115220,115240
05/10/18,115250,115300,115190,115200
05/10/18,115200,115270,115160,115160
05/10/18,115170,115230,115170,115200
05/10/18,115200,115230,115130,115200
